exam_code,cpt,rvu
XR3003,74400,0.49
XR3039,73520,#N/A
XR3050,72170,0.17
XR3051,72170,0.17
XR3054,72170,0.17
XR3056,72170,0.17
XR3065,72020,0.16
XR3066,72020,0.16
XR3069,72020,0.16
XR3070,72020,0.16
XR3073,72020,0.16
XR3081,72114,0.3
XR4061,73565,0.16
XR4061,73565,0.16
IMG011194,73206,1.81
IMG011029,77012,1.5
IMG011029,50200,#N/A
IMG011028,77012,1.5
IMG011028,20206,#N/A
IMG011028,32405,#N/A
IMG011037,72126,1.22
IMG011053,74178,2.01
IMG011054,74176,1.74
IMG011082,73200,1
IMG011083,73201,1.16
IMG011100,73201,1.16
IMG011117,73701,1.16
IMG011149,73201,1.16
IMG011158,70488,1.27
IMG011173,73700,1
IMG011186,73201,1.16
IMG020019,74270,1.04
IMG020020,74280,1.26
IMG020022,74305,#N/A
IMG020022,47505,#N/A
IMG020024,74430,0.32
IMG020024,51600,#N/A
IMG020033,43752,#N/A
IMG020047,50431,#N/A
IMG020056,74245,#N/A
IMG020058,74245,#N/A
IMG018236,75726,2.05
